trial,word_target,nonword_target,stress_related_prime,phonological_related_prime,unrelated_prime
1,palaKA,danoPA,tinaPA,paLAbok,baBAe
2,haLAman,baNIsog,taHAnan,halaGA,kataWAN
3,aNIno,oLIpo,uGAli,aniHAN,kilaWIN
4,kaLAban,saBUlon,haPUnan,kalaRO,bulakLAK
5,daLIri,piLUma,kaBAyo,daliTA,kapaTID
6,guLAman,suLAnod,laBAhan,gulaYAN,salaMIN
7,DIla,MOki,KAma,diLAW,tuYO
8,BAla,NAlu,MEsa,baLAT,maTA
9,baBA_2,miKU,daGA,BAba_1,MAno
10,BAta_1,GOda,LOla,baTA_2,saGO
11,haMON_2,saNOK,liBRO,HAmon_1,GAtas
12,HApon_1,KAsan,TUbig,haPON_2,buHOK
13,PAso_1,NOmo,BOte,paSO_2,aNAK
14,suKA_2,kuMO,baTO,SUka_1,BUko
15,BAga_1,GIma,PUsa,baGA_2,kaPE
16,gaBI_2,noLA,daMIT,GAbi_1,TApa
17,TUbo_1,SAni,SUsi,tuBO_2,leEG
18,piTO_2,muGO,baHA,PIto_1,TOyo
19,PAko_1,MAti,LUpa,paKO_2,liKOD
20,kaiBIgan_1,baiLIkas,paniTIkan,kaibiGAN_2,kalamanSI
